,doc,doc__title,doc__wosarticle__di,docownership,endColor,endFont,endFontsize,height,id,imputed_role,maxX,maxY,minX,minY,mostCommonColor,mostCommonFont,mostCommonFontsize,n,note,page,role,section,startColor,startFont,startFontsize,tag,technology,text,width
0,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-0,font-290,6.3761,30.2865400000001,16113,body-text,605.6771,535.7462,366.07635,505.45966,color-3,font-290,6.4,11,,13,reference,,color-3,font-290,6.3761,,,"Smith, S.J., Janetos, A., Edmonds, J., 2009b. The implications of limiting CO2 concentrations for agriculture, land-use change emissions, and bioenergy. Tech. Rep. PNNL-18341; available at www.globalchange.umd.edu/data/ gtsp/publications/2009/200902 co2 landuse.pdf. transport technology under an economy-wide climate policy in the United States: carbon dioxide emissions, coal use, and carbon dioxide capture and storage. International Journal of Greenhouse Gas Control, Corrected Proof 4 (2), 301–308, doi:10.1016/j.ijggc.2009.09.003, ISSN 1750-5836.",239.60075
1,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-3,font-290,6.3761,22.3161,16112,body-text,605.67914,567.6265,366.07587,545.3104,color-3,font-290,6.4,10,,13,reference,,color-3,font-290,6.3761,,,"Smith, S.J., Janetos, A., Edmonds, J., 2009a. Implications of limiting CO2 concentrations for land use and energy. Science 324 (5931), 1183–1186, doi:10.1126/science.1168475.",239.60327
2,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-3,font-290,6.3761,22.31635,16111,body-text,336.18744,479.95447,96.58638,457.63812,color-3,font-290,6.4,9,,13,reference,,color-3,font-290,6.3761,,,"O., 2010. Extensive methane venting to the atmosphere from sediments of the east siberian arctic shelf. Science 327 (5970), 1246–1250, doi:10.1126/science.1182221. (Eds.), Contribution of Working Group III to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Cambridge University Press, Cambridge, United Kingdom/New York, NY, USA. 2009. Large-scale production, harvest and logistics of switchgrass (Panicum virgatum L.)—current technology and envisioning a mature technology. Biofuels, Bioproducts and Biorefining 3 (2), 124–141, ISSN:1932-1031. in a well-to-wheel perspective: a carbon, energy flow and cost analysis. Energy Conversion and Management 50 (4), 855–876, ISSN:0196-8904. Wigley, T., Richels, R., Edmonds, J., 1996. Economic and environmental",239.60106
3,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-3,font-290,6.3761,22.31641,16110,body-text,336.1887,527.77527,96.58638,505.45886,color-3,font-290,6.4,8,,13,reference,,color-3,font-290,6.3761,,,"Likens, G.E., Lubowski, R.N., Obersteiner, M., Oppenheimer, M., Philip Robertson, G., Schlesinger, W.H., David Tilman, G., 2009. Fixing a critical climate accounting error. Science 326 (5952), 527–528, doi:10.1126/science.1178797.",239.60232
4,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-3,font-290,6.3761,22.31643,16109,body-text,336.1894,647.3276,96.58638,625.01117,color-3,font-290,6.4,7,,13,reference,,color-3,font-290,6.3761,,,"Biomass Energy, Carbon Removal and Permanent Sequestration—A ‘Real Option’ for Managing Climate Risk. IR-02-042. International Institute for Applied Systems Analysis, Luxenburg, Austria.",239.60302
5,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-3,font-290,6.3761,30.28648,16108,body-text,594.86414,129.26997,343.31055,98.98349,color-3,font-290,6.4,6,,12,reference,,color-3,font-290,6.3761,,,"Luckow, P., Wise, M., Dooley, J.J., Kim, S., 2010. Biomass energy for transport and electricity: large scale utilization under low CO2 concentration scenarios. PNNL Technical Report. PNNL-19124. Available at http://www.pnl.gov/main/ publications/external/technical reports/PNNL-19124.pdf. solid waste in an integrated municipal energy supply and waste management system. Waste Manag Res 25, 426–439, doi:10.1177/0734242X07076943. Matthews, H.D., Caldeira, K., 2007. Transient climate-carbon simulations of planetary",251.55359
6,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-3,font-290,6.3761,44.99584,16107,body-text,594.86804,177.09041,343.31058,132.09457,color-3,font-290,6.4,5,,12,reference,,color-3,font-290,6.3761,,,"Le Quere, C., Raupach, M.R., Canadell, J.G., Marland, G., et al., 2009. Trends in the sources and sinks of carbon dioxide. Nature Geoscience 2 (12), 831–836, ISSN:1752-0894. Lindfeldt, E.G., Westermark, M.O., 2008. System study of carbon dioxide (CO2) capture in bio-based motor fuel production. Energy 33 (2), 352–361, ISSN:0360-5442. ",251.55746
7,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-3,font-290,6.3761,252.21933,16106,body-text,594.87054,432.13434,343.31058,179.91501,color-3,font-290,6.4,4,,12,reference,,color-3,font-290,6.3761,,,"Hoegh-Guldberg, O., Mumby, P.J., Hooten, A.J., Steneck, R.S., Greenfield, P., Gomez, E., Harvell, C.D., Sale, P.F., Edwards, A.J., Caldeira, K., Knowlton, N., Eakin, C.M., Iglesias-Prieto, R., Muthiga, N., Bradbury, R.H., Dubi, A., Hatziolos, M.E., 2007. Coral reefs under rapid climate change and ocean acidification. Science 318 (5857), 1737–1742, doi:10.1126/science.1152509. Hoogwijk, M., Faaij, A., de Vries, B., Turkenburg, W., 2009. Exploration of regional and global cost-supply curves of biomass energy from short-rotation crops at abandoned cropland and rest land under four IPCC SRES land-use scenarios. Biomass and Bioenergy 33 (1), 26–43, ISSN:0961-9534. IPCC, 2007a. Climate change 2007: the physical science basis. In: Solomon, S., Qin, D., Manning, M., Chen, Z., Marquis, M., Averyt, K.B., Tignor, M., Miller, H.L. (Eds.), Contribution of Working Group I to the Fourth Assessment Report of the IntergovernmentalPanelonClimateChange.CambridgeUniversityPress,Cambridge,  United Kingdom/New York, NY, USA. IPCC, 2007b. Climate change 2007: mitigation. In: Metz, B., Davidson, O.R., Bosch, P.R., Dave, R., Meyer, L.A. (Eds.), Contribution of Working Group III to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change. Cambridge University Press, Cambridge, United Kingdom/New York, NY, USA. IPCC, 2001. Climate Change 2001: The Scientific Basis. Cambridge University Press, Cambridge, UK. IPCC, 2005. In: Metz, O., Davidson, H., Coninck, d., Loos, M., Meyer, L. (Eds.), IPCC Special Report on Carbon Dioxide Capture and Storage: B. Cambridge University Press for the Intergovernmental Panel on Climate Change, Cambridge. Kim, S.H., Edmonds, J.A., Lurz, J., Smith, S.J., Wise, M.A., 2006. The ObjECTS: framework for integrated assessment: hybrid modeling of transportation. The Energy Journal, (Special Issue No. 2 2006), 63, ISSN PNWD-SA-7256; TRN: US200703%%674 United StatesTRN: US200703%%674Thu Feb 28 07:30:03 EST 2008PNNL; RN07012205English. Larson, E.D., Fiorese, G., Liu, G., Williams, R.H., Kreutz, T.G., Consonni, S., 2009. Co-production of synfuels and electricity from coal +biomass with zero net carbon emissions: an Illinois case study. Energy Procedia 1 (1), 4371–4378, ISSN:1876-6102. ",251.55996
8,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-3,font-290,6.3761,172.51825,16105,body-text,594.8693,607.4772,343.31058,434.95895,color-3,font-290,6.4,3,,12,reference,,color-3,font-290,6.3761,,,"E., Stokes, G., 2007b. Global Energy Technology Strategy Addressing Climate Change: Phase 2 Findings from an International Public–Private Sponsored Research Program, Available at http://www.globalchange.umd.edu/data/gtsp/ docs/gtsp 2007 final.pdf. Edwards, R., Larive, J.-F., Mahieu, V., Rouveirolles, P., 2006. Well-to-wheels analysis of future automotive fuels and powertrains int he European context. WELL-TO-TANK report, Version 2b, May. Available http://ies.jrc.ec.europa.eu/WTW. EIA-Energy Information Administration, 2008. Assumptions to Annual Energy Outlook 2008. DOE/EIA-0554 (2008). EIA, Washington, DC, http:// www.eia.doe.gov/oiaf/archive/aeo08/assumption/index.html. Goldemberg,J., Coelho, S.T., 2004. Renewable energy—traditional biomass vs. modern biomass. Energy Policy 32 (6), 711–714, ISSN:0301-4215. Gregg, J., 2009. Spatial and seasonal distribution of carbon dioxide emissions from fossil–fuel combustion; global, regional, and national potential for sustainable bioenergy from residue biomass and municipal solid waste. Ph.D. Dissertation, Department of Geography, College Park, University of Maryland, College Park. Gregg, J.S., Izaurralde, R.C., 2009. Effect of crop residue harvest on long-term crop yield, soil erosion and nutrient balance: trade-offs for a sustainable bioenergy feedstock. Biofuels 1 (1), 69–83, doi:10.4155/bfs.09.8, ISSN:1759-7269. Hamelinck, C.N., Suurs, R.A.A., Faaij, A.P.C., 2005. International bioenergy transport costs and energy balance. Biomass and Bioenergy 29 (2), 114–134, ISSN:0961-9534. ",251.55872
9,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-3,font-290,6.3761,30.2864999999999,16104,body-text,594.86957,695.14874,355.26642,664.86224,color-3,font-290,6.4,2,,12,reference,,color-3,font-290,6.3761,,,"CO2 emissions and accelerated consumption of deep geologic CO2 storage resources resulting from the large-scale deployment of a CCS-enabled unconventional fossil fuels industry in the U.S. International Journal of Greenhouse Gas Control 3 (6), 720–730, ISSN:1750-5836. integrated assessment model: the potential regional deployment of carbon capture and storage in the context of global CO2 stabilization. In: Schlesinger, M., Kheshgi, H., Smith, J., de la Chesnaye, F., Reilly, J., Wilson, T., Kolstad, C. (Eds.), Human-induced Climate Change: An Interdisciplinary Assessment. Cambridge University Press, pp. 181–197.",239.60315
10,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-3,font-290,6.3761,22.31628,16103,body-text,325.3788,278.2118,85.777084,255.89552,color-3,font-290,6.4,1,,12,reference,,color-3,font-290,6.3761,,,"S.J., Thomson, A., Wise, M., 2009. 2.6: Limiting climate change to 450ppm CO2 equivalent in the 21st century. Energy Economics 31 (2), S107–S120, doi:10.1016/j.eneco.2009.06.006, ISSN:0140-9883. climate policy meet: energy technology in an international policy context. In: Stavins, R., Aldy, J. (Eds.), Implementing Architectures for Agreement: Addressing Global Climate Change in the Post-Kyoto World. Cambridge University Press. Clarke, L., Kim, S.H., Edmonds, J.A., Dooley, J.J., 2009. CO2 emissions mitigation and climate policy architectures: overview of the EMF 22 international scenarios. Energy Economics 31 (Suppl. 2), S64–S81, doi:10.1016/j.eneco.2009.10.013, ISSN:0140-9883. geologic CO2 storage potential supply curve and its application in a global integrated assessment model. Greenhouse Gas Control Technologies 1, 573–581.  andtheroleofcarbondioxidecaptureandstoragetechnologiesinreducingtheir greenhouse gas emissions. Energy Procedia 1 (1), 4225–4232, ISSN:1876-6102. Dooley, J.J., Dahowski, R.T., Davidson, C.L., 2009b. The potential for increased atmospheric",239.601716
11,544914,Large-scale utilization of biomass energy and carbon dioxide capture and storage in the transport and electricity sectors under stringent CO2 concentration limit scenarios,10.1016/j.ijggc.2010.06.002,,color-3,font-290,6.3761,22.31635,16102,body-text,325.37875,381.8234,85.777084,359.50705,color-3,font-290,6.4,0,,12,reference,,color-3,font-290,6.3761,,,"L., Slayton, A., Lukas, J., 2002. Lignocellulosic Biomass to Ethanol Process Design and Economics Utilizing Co-Current Dilute Acid Prehydrolysis and Enzymatic Hydrolysis for Corn Stover, Other Information: PBD: 1 Jun 2002. for the optimal conceptual design of biomass gasification energy conversion systems.AppliedThermalEngineering29(11–12),2137–2152,ISSN:1359-4311. Calvin, K., Edmonds, J., Bond-Lamberty, B., Clarke, L., Kim, S.H., Kyle, P., Smith,",239.601666
